Title,Event URL,Image URL,Categories,Mode,Date,Time,Location,Register Link
Masterclass: Navigating the Challenges of Career Advancement: Strategies for Success,https://events.herkey.com/events/masterclass-navigating-the-challenges-of-career-advancement-strategies-for-success/1640,https://assets.jobsforher.com/uploads/v3/events/ddd482273a51e9dcaf1d0043d8384d6b8e796ef432f61c3d05.png,Career Development,Online,"24th Jul, 2024",7:00pm to 8:00pm,Any,N/A
Masterclass: Managing the Juggling Act - A Guide for Working Moms,https://events.herkey.com/events/masterclass-managing-the-juggling-act-a-guide-for-working-moms/1639,https://assets.jobsforher.com/uploads/v3/events/8fa0b3bad5c3b7a380017fa211addf5326a0f2327c989a8134.png,Career Development,Online,"17th Jul, 2024",1:00pm to 2:00pm,Any,N/A
"HerTech Academy: Redefining Success in Tech for Women Elevate Your Expertise, Elevate Your Career Partnered with Simplilearn ",https://events.herkey.com/events/hertech-academy-redefining-success-in-tech-for-women-elevate-your-expertise-elevate-your-career-partnered-with-simplilearn/1511,https://assets.jobsforher.com/uploads/v3/events/e2c5664efb307ff8b2d604943904f727b9fa17bdd8a868d73e.png,Women In Tech,Online,"15th Apr, 2024 to 15th Jul, 2024",12:00am to 11:59pm,Any,N/A
Re-Ignite by Moody's ,https://events.herkey.com/events/re-ignite-by-moody-s/1634,https://assets.jobsforher.com/uploads/v3/events/fbdd191737d381aaad195ba959e8a5acfc4660536eaba468b1.png,Women Returnees,Online,"12th Jul, 2024",4:00pm to 5:00pm,Any,N/A
Networking Event by Cisco Meraki ,https://events.herkey.com/events/networking-event-by-cisco-meraki/1631,https://assets.jobsforher.com/uploads/v3/events/c3a7c29e4f511b2de1896e893e4981b36ba2e1fa79880c1bf9.png,Career Development,Online,"2nd Jul, 2024",2:00pm to 3:30pm,Any,N/A
Akamai EmpowHER Codeathon 2024 ,https://events.herkey.com/events/akamai-empowher-codeathon-2024/1630,https://assets.jobsforher.com/uploads/v3/events/19bdb1ee1bb6102361b7bd6e79c57c34927c5a49c0e35d5d23.png,Career Development,Online,"29th Jun, 2024",11:00am to 12:00pm,Any,N/A
The Future of Tech at Capital One: Emerging Technologies and Trends ,https://events.herkey.com/events/the-future-of-tech-at-capital-one-emerging-technologies-and-trends/1629,https://assets.jobsforher.com/uploads/v3/events/77c0535bcb57a1005de2068fe0636b39686eff03d58e411cb4.png,Career Development,Online,"28th Jun, 2024",3:00pm to 4:00pm,Any,N/A
Roundtable Discussion - Future-Proofing Talent- Navigating the Disruption of Skills for Tomorrow's Workforce.,https://events.herkey.com/events/roundtable-discussion-future-proofing-talent-navigating-the-disruption-of-skills-for-tomorrow-s-workforce/1633,https://assets.jobsforher.com/uploads/v3/events/b7bf73f882455b43c9846df3c77df28ebf05c24335ba30b758.png,"Career Development, Roundtable, event",Online,"26th Jun, 2024",5:00pm to 6:00pm,Any,N/A
Empowering Excellence: The Crucial Role of Self-Efficacy Skills in Achieving Personal and Professional Success,https://events.herkey.com/events/empowering-excellence-the-crucial-role-of-self-efficacy-skills-in-achieving-personal-and-professional-success/1627,https://assets.jobsforher.com/uploads/v3/events/30289a58c60ec5a47f1698d74d63655dd243c29827c0fa3dd3.png,Career Development,Online,"20th Jun, 2024",7:00pm to 8:00pm,Any,N/A
Akamai’s Breakthrough Codathon ,https://events.herkey.com/events/akamai-s-breakthrough-codathon/1620,https://assets.jobsforher.com/uploads/v3/events/61bbbca44402a4ba5a51c9592f1918aaad4e5292373bbb23f8.png,"Career Development, Women In Tech",Online,"14th Jun, 2024",9:00am to 11:00am,Any,N/A
AccelHERate Mumbai 2024,https://events.herkey.com/events/accelherate-mumbai-2024/1613,https://assets.jobsforher.com/uploads/v3/events/0a1be0849d416d5f69d70d2fee88788858f6913e9d8fe81c14.png,"Conferences, Roundtable, Diversity & Inclusion, event",Offline,"13th Jun, 2024",9:00am to 6:00pm,Mumbai,N/A
